,Channels,long,lat,arrival time
341,771.0,-121.884367649,37.3392737151,1332.79787635
342,772.0,-121.884360871,37.3392767152,1332.73120404
343,773.0,-121.884354161,37.3392796853,1332.66519921
344,774.0,-121.8843469,37.3392828989,1332.59377547
345,775.0,-121.884338894,37.3392864431,1332.51501043
346,776.0,-121.88433089,37.3392899855,1332.43632374
347,777.0,-121.884322928,37.3392935096,1332.35799587
348,778.0,-121.884315018,37.3392970109,1332.28017877
349,779.0,-121.88430695,37.3393005821,1332.20084057
350,780.0,-121.884298886,37.3393041509,1332.12151837
351,781.0,-121.884290579,37.3393078284,1332.04016892
352,782.0,-121.884282327,37.3393114726,1331.95839959
353,783.0,-121.884273972,37.3393151545,1331.87380619
354,784.0,-121.884265833,37.3393187408,1331.79105012
355,785.0,-121.884257385,37.3393224637,1331.70512813
356,786.0,-121.884249203,37.3393260695,1331.62192012
357,787.0,-121.88424081,37.3393297681,1331.53655679
358,788.0,-121.884232476,37.3393334411,1331.45179726
359,789.0,-121.884224129,37.3393371191,1331.36692431
360,790.0,-121.884216183,37.3393406212,1331.28611455
361,791.0,-121.884208245,37.3393441189,1331.20541381
362,792.0,-121.884200569,37.3393475013,1331.12734669
363,793.0,-121.88419317,37.3393507615,1331.04942683
364,794.0,-121.884186209,37.3393538754,1330.97241459
365,795.0,-121.884179002,37.3393571843,1330.89721052
366,796.0,-121.884171242,37.3393607466,1330.82086563
367,797.0,-121.88416388,37.3393641257,1330.74846077
368,798.0,-121.884156017,37.3393677348,1330.67112495
369,799.0,-121.88414824,37.3393713046,1330.59461922
370,800.0,-121.884140446,37.3393748824,1330.5179643
371,801.0,-121.884133255,37.3393781829,1330.44723856
372,802.0,-121.884126082,37.3393814759,1330.37667188
373,803.0,-121.88411873,37.33938485,1330.3043705
374,804.0,-121.884111533,37.339388154,1330.23356844
375,805.0,-121.884104152,37.3393915416,1330.16097007
376,806.0,-121.8840968,37.3393949168,1330.08864101
377,807.0,-121.884089265,37.3393983753,1330.01453643
378,808.0,-121.884081873,37.3394017685,1329.9418354
379,809.0,-121.884074261,37.3394052624,1329.86696844
380,810.0,-121.884066756,37.3394087074,1329.79314691
381,811.0,-121.884059011,37.3394122621,1329.716961
382,812.0,-121.884051386,37.3394157623,1329.64194436
383,813.0,-121.884043541,37.3394193635,1329.56479912
384,814.0,-121.88403644,37.339422623,1329.49494467
385,815.0,-121.884029047,37.3394260167,1329.42221485
386,816.0,-121.884021936,37.3394292807,1329.35228931
387,817.0,-121.884014459,37.3394327123,1329.27875783
388,818.0,-121.884007142,37.3394360712,1329.20676874
389,819.0,-121.883999657,37.3394395067,1329.13314485
390,820.0,-121.883992392,37.3394428411,1329.05913508
391,821.0,-121.883986007,37.33944581,1328.98440931
392,822.0,-121.883979349,37.3394490906,1328.90969857
393,823.0,-121.883971747,37.3394528288,1328.83492795
394,824.0,-121.88396405,37.3394566144,1328.75919174
395,825.0,-121.883956361,37.3394603962,1328.68356424
396,826.0,-121.883948799,37.3394641148,1328.60920932
397,827.0,-121.883941033,37.3394679345,1328.53280048
398,828.0,-121.883933374,37.3394717012,1328.45746478
399,829.0,-121.883925639,37.3394755053,1328.38140163
400,830.0,-121.883917928,37.3394792974,1328.30555215
401,831.0,-121.883910189,37.3394831039,1328.22940697
402,832.0,-121.88390242,37.3394869246,1328.15301005
403,833.0,-121.883894552,37.3394907941,1328.07608282
404,834.0,-121.883885518,37.3394952208,1327.99579602
405,835.0,-121.883876176,37.3394996041,1327.91556448
406,836.0,-121.883867744,37.3395035564,1327.83652348
407,837.0,-121.883859272,37.3395075276,1327.7570901
408,838.0,-121.883851047,37.3395113835,1327.67996842
409,839.0,-121.883843584,37.3395148818,1327.61001228
410,840.0,-121.883836417,37.3395182409,1327.54283244
411,841.0,-121.883828791,37.3395218158,1327.47133003
412,842.0,-121.88382159,37.3395251911,1327.40381885
413,843.0,-121.883814041,37.33952873,1327.33303657
414,844.0,-121.883806769,37.3395321387,1327.26487881
415,845.0,-121.883799277,37.3395356505,1327.19464535
416,846.0,-121.883791873,37.3395391209,1327.12520535
417,847.0,-121.883784528,37.3395425641,1327.0557647
418,848.0,-121.88377733,37.3395459499,1326.98568408
419,849.0,-121.883769978,37.3395494566,1326.91560511
420,850.0,-121.883762413,37.3395530646,1326.84576988
421,851.0,-121.88375475,37.3395567193,1326.77505001
422,852.0,-121.88374722,37.3395603104,1326.70554567
423,853.0,-121.883739524,37.3395639809,1326.63450407
424,854.0,-121.883731976,37.3395675806,1326.56484308
425,855.0,-121.883724342,37.3395712213,1326.49436899
426,856.0,-121.883716653,37.3395748887,1326.42338322
427,857.0,-121.883709213,37.3395784368,1326.35471559
428,858.0,-121.883701481,37.3395821245,1326.28333677
429,859.0,-121.883694142,37.3395856244,1326.21558081
430,860.0,-121.883686375,37.3395893289,1326.14388992
431,861.0,-121.883679059,37.3395928183,1326.076377
432,862.0,-121.883671096,37.3395966156,1326.00487135
433,863.0,-121.883663134,37.3396003661,1325.93645948
434,864.0,-121.883655071,37.3396041604,1325.86546272
435,865.0,-121.883647253,37.3396078394,1325.79647483
436,866.0,-121.88363933,37.3396115679,1325.72656905
437,867.0,-121.883632638,37.3396147171,1325.6675198
438,868.0,-121.883626145,37.3396177728,1325.61022144
439,869.0,-121.883618524,37.3396213587,1325.54299058
440,870.0,-121.883610953,37.3396249219,1325.47616646
441,871.0,-121.883603299,37.3396285238,1325.40864595
442,872.0,-121.883595763,37.3396320703,1325.34214571
443,873.0,-121.883588029,37.3396357098,1325.27390988
444,874.0,-121.883580601,37.3396392051,1325.2083835
445,875.0,-121.883572946,37.3396428075,1325.14081221
446,876.0,-121.883565289,37.3396464109,1325.07334355
447,877.0,-121.883556377,37.3396506022,1324.99702729
448,878.0,-121.883547206,37.3396548554,1324.91937971
449,879.0,-121.883538324,37.3396589748,1324.84213593
450,880.0,-121.883529373,37.3396631258,1324.76430101
451,881.0,-121.883520403,37.3396672861,1324.68630668
452,882.0,-121.883511356,37.3396714816,1324.60764268
453,883.0,-121.883502403,37.3396756337,1324.52977962
454,884.0,-121.883493416,37.3396798016,1324.45164234
455,885.0,-121.88348457,37.3396839039,1324.37472302
456,886.0,-121.883475642,37.3396880445,1324.29708015
457,887.0,-121.883466619,37.339692229,1324.21862658
458,888.0,-121.883457642,37.3396963921,1324.14055833
459,889.0,-121.883448603,37.3397005847,1324.06156099
460,890.0,-121.883439914,37.3397046242,1323.98338418
461,891.0,-121.883431322,37.3397086602,1323.90366267
462,892.0,-121.883422538,37.3397127858,1323.82380261
463,893.0,-121.883413828,37.3397168774,1323.74460366
464,894.0,-121.883404907,37.3397210677,1323.6635225
465,895.0,-121.883396098,37.3397252049,1323.58345276
466,896.0,-121.883388678,37.3397286897,1323.51600152
467,897.0,-121.883381212,37.3397321968,1323.44810134
468,898.0,-121.883373724,37.3397357139,1323.38003307
469,899.0,-121.883366228,37.3397392346,1323.31189892
470,900.0,-121.883358759,37.3397427428,1323.24397979
471,901.0,-121.88335145,37.3397461761,1323.17754699
472,902.0,-121.883344508,37.3397494364,1323.11444393
473,903.0,-121.883337693,37.3397526379,1323.05172106
474,904.0,-121.883331534,37.3397555429,1322.99048587
475,905.0,-121.883325074,37.3397586728,1322.92573876
476,906.0,-121.88331834,37.3397619349,1322.86260175
477,907.0,-121.88331159,37.3397652041,1322.79933573
478,908.0,-121.8833048,37.3397684932,1322.73565993
479,909.0,-121.8832975,37.3397720291,1322.66720439
480,910.0,-121.883290009,37.3397756581,1322.59698631
481,911.0,-121.883282197,37.3397794416,1322.52377601
482,912.0,-121.883274112,37.3397833577,1322.44794129
483,913.0,-121.88326564,37.3397874618,1322.3685176
484,914.0,-121.883256869,37.33979171,1322.28631277
485,915.0,-121.883248536,37.339795746,1322.20819066
486,916.0,-121.883240315,37.3397997281,1322.1311117
487,917.0,-121.883231809,37.3398038478,1322.05369901
488,918.0,-121.883222653,37.3398082188,1321.97645646
489,919.0,-121.883213628,37.3398123965,1321.90056917
490,920.0,-121.883205153,37.3398163178,1321.82467167
491,921.0,-121.883196635,37.3398202591,1321.74839929
492,922.0,-121.883188103,37.3398242065,1321.67198904
493,923.0,-121.883179625,37.3398281295,1321.5960609
494,924.0,-121.883171029,37.3398321066,1321.51910315
495,925.0,-121.883162512,37.3398360471,1321.44281655
496,926.0,-121.883154066,37.3398399551,1321.36717741
497,927.0,-121.883145718,37.3398438175,1321.29243933
498,928.0,-121.883137499,37.3398476204,1321.2188205
499,929.0,-121.883129033,37.3398515378,1321.14299252
500,930.0,-121.883120697,37.3398553947,1321.06835956
501,931.0,-121.883112335,37.3398592635,1320.99347911
502,932.0,-121.883103899,37.3398631666,1320.91793124
503,933.0,-121.883095391,37.3398671033,1320.84173341
504,934.0,-121.883086095,37.3398714046,1320.75848159
505,935.0,-121.883076949,37.339875636,1320.67658794
506,936.0,-121.883067988,37.3398797822,1320.59634696
507,937.0,-121.88305955,37.3398836863,1320.52078057
508,938.0,-121.883050785,37.3398877417,1320.44226757
509,939.0,-121.883042278,37.3398916779,1320.36609754
510,940.0,-121.883033933,37.3398955388,1320.2913794
511,941.0,-121.883025671,37.3398993617,1320.2173635
512,942.0,-121.883017151,37.3399033043,1320.14106013
513,943.0,-121.883008417,37.3399073451,1320.0622099
514,944.0,-121.882999508,37.3399114837,1319.98008984
515,945.0,-121.882990536,37.3399157065,1319.8989525
516,946.0,-121.882981229,37.339920086,1319.8168599
